epoch,step,train_loss
0,49,0.06752649694681168
0,99,0.05811906233429909
0,149,0.0495973601937294
0,199,0.044400885701179504
0,249,0.037163399159908295
0,299,0.034023717045784
0,349,0.03311052545905113
0,399,0.02833985723555088
0,449,0.02680581994354725
0,499,0.02414765954017639
0,549,0.029764486476778984
0,599,0.02116861566901207
0,649,0.021673157811164856
0,699,0.022545168176293373
0,749,0.023137690499424934
0,799,0.020023459568619728
0,849,0.016246400773525238
0,899,0.016198262572288513
1,949,0.017665093764662743
1,999,0.016899704933166504
1,1049,0.01739051192998886
1,1099,0.015448255464434624
1,1149,0.014790980145335197
1,1199,0.014241795055568218
1,1249,0.012025825679302216
1,1299,0.014482516795396805
1,1349,0.012145609594881535
1,1399,0.01197034865617752
1,1449,0.010784287936985493
1,1499,0.01101276557892561
1,1549,0.010265403427183628
1,1599,0.01038614846765995
1,1649,0.010443038307130337
1,1699,0.009952688589692116
1,1749,0.00935021135956049
1,1799,0.010452358052134514
1,1849,0.01004487369209528
2,1899,0.0087590292096138
2,1949,0.01027024257928133
2,1999,0.009145167656242847
2,2049,0.008693392388522625
2,2099,0.00808865949511528
2,2149,0.007445565424859524
2,2199,0.007440512999892235
2,2249,0.008302344009280205
2,2299,0.007836137898266315
2,2349,0.0071135894395411015
2,2399,0.008394630625844002
2,2449,0.00761003652587533
2,2499,0.007060693111270666
2,2549,0.007295574527233839
2,2599,0.0063664671033620834
2,2649,0.006927983369678259
2,2699,0.007042394485324621
2,2749,0.007031451910734177
2,2799,0.0069992998614907265
3,2849,0.006787133403122425
3,2899,0.006183287128806114
3,2949,0.006779684219509363
3,2999,0.006271102465689182
3,3049,0.006639375817030668
3,3099,0.00664565758779645
3,3149,0.0070607420057058334
3,3199,0.006694097071886063
3,3249,0.006298975087702274
3,3299,0.005770497024059296
3,3349,0.006466783583164215
3,3399,0.005945601034909487
3,3449,0.006328247021883726
3,3499,0.006315688602626324
3,3549,0.00589398480951786
3,3599,0.005789339542388916
3,3649,0.0064784446731209755
3,3699,0.0055760047398507595
3,3749,0.006438643205910921
4,3799,0.0065418994054198265
4,3849,0.005010377615690231
4,3899,0.005682895425707102
4,3949,0.005667218938469887
4,3999,0.0057266452349722385
4,4049,0.006013265810906887
4,4099,0.005500788800418377
4,4149,0.005577549804002047
4,4199,0.0058699860237538815
4,4249,0.00541713647544384
4,4299,0.0061563472263514996
4,4349,0.005054139532148838
4,4399,0.005559499841183424
4,4449,0.006168619729578495
4,4499,0.005902930628508329
4,4549,0.006214185617864132
4,4599,0.006060551851987839
4,4649,0.005568414460867643
